Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Home,BALL LOST,INTERCEPTION,1,20146,805.84,20183,807.32,4,,0.39,0,0.51,0.16
Away,CHALLENGE,AERIAL-WON,1,20182,807.28,20182,807.28,15,,0.51,0.12,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,20182,807.28,20182,807.28,15,,0.51,0.12,NaN,NaN
Away,PASS,HEAD,1,20182,807.28,20216,808.64,15,21,0.51,0.12,0.44,0.25
Home,CHALLENGE,AERIAL-LOST,1,20183,807.32,20183,807.32,8,,0.5,0.1,NaN,NaN
Away,PASS,,1,20293,811.72,20325,813,21,19,0.41,0.15,0.36,0.02
Away,BALL LOST,,1,20345,813.8,20363,814.52,19,,0.32,0.03,0.25,0.08
Home,RECOVERY,INTERCEPTION,1,20362,814.48,20362,814.48,7,,0.28,0.14,NaN,NaN
Home,PASS,,1,20362,814.48,20380,815.2,7,4,0.28,0.14,0.22,0.1
Home,PASS,,1,20471,818.84,20528,821.12,4,9,0.28,0.03,0.43,0.51
Home,PASS,,1,20552,822.08,20622,824.88,9,1,0.4,0.53,0.36,0.91
Home,BALL LOST,INTERCEPTION,1,20622,824.88,20671,826.84,1,,0.36,0.91,0.52,0.85
